,Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
0,JPMorgan Chase,432.92,346.0,403.0,35911.0
1,Bank of America,231.52,185.0,215.0,19205.0
2,Industrial and Commercial Bank of China,194.56,156.0,181.0,16139.0
3,Agricultural Bank of China,160.68,129.0,149.0,13328.0
4,HDFC Bank,157.91,126.0,147.0,13099.0
5,Wells Fargo,155.87,125.0,145.0,12929.0
6,HSBC Holdings PLC,148.9,119.0,138.0,12351.0
7,Morgan Stanley,140.83,113.0,131.0,11682.0
8,China Construction Bank,139.82,112.0,130.0,11598.0
9,Bank of China,136.81,109.0,127.0,11348.0
